Name,,Match Played,Run,Bat Avg,Wickets,Bowl Avg
N Ellis,,1,0,0,1,24
N K Reddy,,13,303,33.67,3,51
N Pooran,,14,499,62.38,0,0
N Rana,,2,42,21,0,0
N Wadhera,,6,109,18.17,0,0
Naman Dhir,,7,140,23.33,0,0
Naveen-ul-Haq,,10,2,0,14,26.57
Noor Ahmad,,10,5,2.5,8,36.25
P D Salt,,12,435,39.55,0,0
P J Cummins,,16,136,22.67,18,31.44
P P Chawla,,11,15,3.75,13,24
P P Shaw,,8,198,24.75,0,0
P V D Chameera,,1,0,0,0,0
Prabhsimran Singh,,14,334,23.86,0,0
Q de Kock,,11,250,22.73,0,0
R A Jadeja,,14,267,44.5,8,46.13
R A Tripathi,,6,165,27.5,0,0
R Ashwin,,15,86,14.33,9,51.89
R D Chahar,,9,21,21,10,27.9
R D Gaikwad,,14,583,53,0,0
R Dhawan,,1,0,0,0,0
R G Sharma,,14,417,32.08,0,0
R J Gleeson,,2,2,0,1,71
R J W Topley,,4,3,0,4,42
R K Bhui,,2,3,1.5,0,0
R K Singh,,15,168,18.67,0,0
R M Patidar,,15,395,30.38,0,0
R Parag,,16,573,52.09,0,0
R Powell,,10,103,17.17,0,0
R R Pant,,13,446,40.55,0,0
R R Rossouw,,8,211,26.38,0,0
R Ravindra,,10,222,22.2,0,0
R S Kishore,,5,13,13,7,19.57
R Shepherd,,6,57,28.5,1,159
R Singh,,15,125,31.25,0,0
R Tewatia,,12,188,26.86,0,0
Rahmanullah Gurbaz,,3,62,31,0,0
Rashid Khan,,12,102,20.4,10,36.7
Rasikh Salam,,8,28,7,9,29.89
Ravi Bishnoi,,14,4,1.33,10,38.3
S A Yadav,,11,345,34.5,0,0
S D Hope,,9,183,22.88,0,0
S Dhawan,,5,152,30.4,0,0
S Dube,,14,396,36,1,14
S Gopal,,3,0,0,3,22.33
S H Johnson,,5,6,0,4,37.75
S Joseph,,1,0,0,0,0
S M Curran,,13,270,27,16,26
S Mulani,,2,1,0,0,0
S N Thakur,,9,21,21,5,61.8
S O Hetmeyer,,12,113,22.6,0,0
S P Narine,,15,488,34.86,17,21.65
S Rizvi,,8,51,12.75,0,0
S S Iyer,,15,351,39,0,0
S S Prabhudessai,,1,24,24,0,0
S Sandeep Warrier,,5,0,0,6,19.83
S Sharma,,2,0,0,0,0
S Singh,,4,0,0,5,24.2
S Singh,,14,354,44.25,1,5
S Singh,,4,14,14,0,0
S Singh,,1,2,0,0,0
S V Samson,,16,531,48.27,0,0
Sai Sudharsan,,12,527,47.91,0,0
Sandeep Sharma,,11,0,0,13,23.92
Saurav Chauhan,,3,18,6,0,0
Shahbaz Ahmed,,16,215,23.89,7,38.57
Shahrukh Khan,,7,127,18.14,0,0
Shubham Dubey,,4,33,16.5,0,0
Shubman Gill,,12,426,38.73,0,0
Sikandar Raza,,2,43,21.5,0,0
Sumit Kumar,,4,18,9,0,0
Swapnil Singh,,7,37,18.5,6,22.17
T A Boult,,16,14,7,16,27.69
T H David,,13,241,30.13,0,0
T K Kotian,,1,24,24,0,0
T M Head,,15,567,40.5,0,0
T Natarajan,,14,0,0,19,24.47
T Stubbs,,14,378,54,3,5
T U Deshpande,,13,0,0,17,24.94
Tilak Varma,,13,416,41.6,0,0
Tom Kohler-Cadmore,,4,48,16,0,0
U T Yadav,,7,12,12,8,26.25
Umran Malik,,1,0,0,0,0
V G Arora,,10,1,0,11,25.09
V Kaverappa,,1,0,0,2,18
V Kohli,,15,741,61.75,0,0
V R Iyer,,15,370,46.25,0,0
V Shankar,,7,83,16.6,0,0
Vijayakanth Viyaskanth,,3,7,0,1,86
Vijaykumar Vyshak,,4,1,1,4,35.5
W G Jacks,,8,230,32.86,2,50
W P Saha,,9,136,15.11,0,0
Washington Sundar,,2,0,0,1,73
Y B K Jaiswal,,16,435,31.07,0,0
Y Dayal,,14,0,0,15,30.6
Y S Chahal,,15,0,0,18,30.33
Y Thakur,,10,0,0,11,36.55
Yudhvir Singh,,2,21,10.5,1,52
